City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
326,College,64.86,-147.8,26.01,94,100,3.15,US,overcast clouds
327,Caravelas,-17.71,-39.25,76.48,84,0,5.82,BR,clear sky
328,Kosum Phisai,16.25,103.07,73.4,83,75,3.36,TH,broken clouds
329,Kimbe,-5.55,150.14,78.4,80,42,2.91,PG,scattered clouds
330,Chapais,49.78,-74.85,32.0,97,90,8.05,CA,overcast clouds
331,Pervomayskiy,53.25,40.29,37.99,80,0,8.25,RU,clear sky
332,Luena,-11.78,19.92,62.94,92,100,2.06,AO,moderate rain
333,Westport,41.14,-73.36,71.01,49,1,8.05,US,clear sky
334,Port Alberni,49.24,-124.8,46.0,68,0,1.01,CA,clear sky
335,Port-Gentil,-0.72,8.78,78.8,94,75,11.41,GA,thunderstorm
336,Hamilton,39.18,-84.53,73.99,33,1,9.17,US,clear sky
337,Grand-Santi,4.25,-54.38,87.19,55,11,2.62,GF,few clouds
338,Daru,-9.08,143.21,76.57,91,98,5.55,PG,overcast clouds
339,Leeuwarden,53.2,5.81,45.0,100,0,6.93,NL,mist
340,Xingyi,24.19,102.82,47.48,98,11,3.0,CN,few clouds
341,Linjiang,41.81,126.91,26.98,81,0,6.11,CN,clear sky
342,Deputatskiy,69.3,139.9,-6.23,92,96,3.4,RU,overcast clouds
343,Mineral Wells,32.81,-98.11,75.99,47,1,14.99,US,clear sky
344,San Jeronimo,-11.95,-75.28,56.07,59,87,4.94,PE,light rain
345,Te Anau,-45.42,167.72,45.05,69,79,7.29,NZ,broken clouds
346,Takoradi,4.88,-1.76,79.05,86,99,9.08,GH,light rain
347,Paracuru,-3.41,-39.03,84.2,66,20,13.87,BR,few clouds
348,Necochea,-38.55,-58.74,63.64,77,0,9.6,AR,clear sky
349,Seddon,-37.81,144.89,52.0,87,0,6.93,AU,clear sky
350,Portree,57.41,-6.19,41.0,81,44,3.18,GB,scattered clouds
351,Aban,56.67,96.06,36.7,98,100,8.93,RU,moderate rain
352,Conde,-7.26,-34.91,80.6,78,40,17.22,BR,scattered clouds
353,Tonaya,19.78,-103.97,84.2,51,20,6.93,MX,few clouds
354,Doha,25.29,51.53,84.0,65,0,4.7,QA,clear sky
355,Iqaluit,63.75,-68.51,10.4,78,75,5.82,CA,broken clouds
356,Honiara,-9.43,159.95,73.4,100,20,2.24,SB,few clouds
357,Ferrol,43.48,-8.24,60.01,93,75,4.7,ES,light rain
