City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Khudumelapye,BW,84.56,clear sky,-23.88,24.75,
443,Bandarban,BD,66.33,clear sky,22.2,92.23,Hotel Plaza
444,Panguna,PG,74.08,clear sky,-6.32,155.48,
446,Emerald,AU,70.0,overcast clouds,-23.53,148.17,The Irish Village
449,Sault Sainte Marie,CA,66.2,clear sky,46.52,-84.33,Comfort Inn
450,Tete,MZ,88.66,overcast clouds,-16.16,33.59,Zambeze Paraíso Misterioso
453,Gizo,SB,83.32,scattered clouds,-8.1,156.84,Imagination Island
454,Axim,GH,78.73,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
458,Xuddur,SO,74.07,overcast clouds,4.12,43.89,Banjanay Hotel
459,Oudtshoorn,ZA,60.8,clear sky,-33.59,22.2,Earthbound Guest House
463,Darnah,LY,67.71,light rain,32.77,22.64,زاوية الرفاعي
464,Sechura,PE,71.33,scattered clouds,-5.56,-80.82,Hospedaje Costa Bella
465,Sinnamary,GF,81.25,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
468,Paita,PE,67.33,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
469,Kuliyapitiya,LK,77.0,mist,7.47,80.04,Rest House
470,Lilongwe,MW,75.79,clear sky,-13.97,33.79,Spendwise furnished apartments.
471,Luba,GQ,77.0,few clouds,3.46,8.55,
473,Hobyo,SO,79.41,broken clouds,5.35,48.53,Osmani Hotel
474,Acurenam,GQ,68.99,moderate rain,1.03,10.65,
475,El Alto,PE,66.9,scattered clouds,-4.27,-81.21,Black Marlin Lodge & Restaurant
476,Cascavel,BR,80.64,clear sky,-24.96,-53.46,Copas Executive Hotel
477,Sawtell,AU,61.0,broken clouds,-30.38,153.1,Boambee Waters Caravan Park
479,Muros,ES,60.01,light rain,42.78,-9.06,Apartment Av. Castelao
480,Manta,EC,80.6,scattered clouds,-0.95,-80.73,Balandra Hotel
482,Porto Novo,BJ,82.4,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
484,Quthing,LS,64.47,clear sky,-30.4,27.7,Mountainside Hotel
487,Venado Tuerto,AR,82.99,clear sky,-33.75,-61.97,La Bianca.
489,Nazira,IN,64.2,clear sky,26.92,94.73,Hotel Villa & Restaurant Fruition
493,Hasilpur,PK,62.76,clear sky,29.71,72.56,Dr Riaz's House 89 Fateh
494,Ballina,AU,64.0,overcast clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
495,Cassia,BR,79.18,clear sky,-20.58,-46.92,Hotel Ancora e Restaurante de Cassia MG
496,Montes Claros,BR,74.89,overcast clouds,-16.73,-43.86,ibis Montes Claros Shopping
497,La Victoria,VE,75.0,few clouds,10.22,-67.33,Hotel Hacienda El Recreo
500,Bani Walid,LY,62.24,clear sky,31.76,13.99,منزل الصابر أبوفانة
502,Tomatlan,MX,86.29,scattered clouds,19.93,-105.25,Norma franco
503,Kyabe,TD,80.76,overcast clouds,9.45,18.94,
506,Illapel,CL,76.37,clear sky,-31.63,-71.17,Hotel Londres
507,Corinto,GR,62.01,overcast clouds,37.94,22.96,Ephira Hotel
512,Saint Anthony,US,73.99,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
513,Holland,US,70.0,clear sky,42.79,-86.11,Hampton Inn Holland
515,Kirakira,SB,82.71,broken clouds,-10.45,161.92,SanBiz Lodge
517,Jodhpur,IN,69.4,clear sky,26.29,73.03,"Umaid Bhawan Palace, Jodhpur"
520,Nhulunbuy,AU,77.0,overcast clouds,-12.23,136.77,East Arnhem Real Estate
523,Palu,ID,75.54,light rain,-0.89,119.87,Hotel Santika Palu
524,Asfi,MA,66.2,scattered clouds,32.3,-9.24,Hôtel Abda
525,Cuajinicuilapa,MX,87.58,broken clouds,16.47,-98.42,Pozo S. XVI
526,Vinh,VN,70.09,clear sky,18.67,105.67,Hotels Shanghai
527,Kidal,ML,76.05,clear sky,18.44,1.41,
528,Rawson,AR,67.55,overcast clouds,-43.3,-65.1,Hotel Punta León
529,Kawalu,ID,70.09,scattered clouds,-7.38,108.21,KOSAN UNGU UNSIK
530,Chicama,PE,68.0,few clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
531,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
534,Lata,PT,60.01,overcast clouds,40.16,-8.33,Casa Maquia
536,Itanhaem,BR,73.4,overcast clouds,-24.18,-46.79,Prainha Residência Artística
537,Itarema,BR,80.87,broken clouds,-2.92,-39.92,Windvillage
538,Muana,BR,82.26,overcast clouds,-1.53,-49.22,Pousada Bella do Marajó
539,Alice Town,BS,80.2,overcast clouds,25.72,-79.3,Bimini Big Game Club Resort & Marina
541,Bafq,IR,62.1,scattered clouds,31.61,55.41,Alamdar Hotel
542,Bafoulabe,ML,88.05,clear sky,13.81,-10.83,
548,Galesong,ID,79.03,overcast clouds,-5.32,119.37,Sapriadi Appy
549,Samarai,PG,81.41,light rain,-10.62,150.67,Nuli Sapi
552,Ruwi,OM,80.6,broken clouds,23.6,58.55,Al Falaj Hotel
556,Saint-Pierre,RE,73.4,clear sky,-21.34,55.48,Lindsey Hôtel
557,Ugoofaaru,MV,82.69,overcast clouds,5.67,73.0,Ungoofaaru Inn
559,Sur,OM,75.36,clear sky,22.57,59.53,Sur Plaza Hotel
560,Morehead,US,80.6,clear sky,37.27,-87.18,CCI Express Inn
561,Carbonia,IT,62.01,light rain,39.17,8.52,Lu 'Hotel
